date,title,job,place
2023-2024,[Technical Symposium on Computer Science Education (ACM SIGCSE)](https://sigcse2024.sigcse.org/),"Associate Chair, conference posters","Portland, OR"
2023,[Learning Under Algorithmic Conditions](https://www.mixi.nyc/post/conference-learning-under-algorithmic-conditions),"Conference co-chair","MIXI Institute, NYC"
2020-present,[MIXI Institute for STEM and the Imagination](https://mixi.nyc),"co-founder, faculty researcher","Brooklyn, NY"
2020-present,Graduate Program in STEAM Teaching and Learning,"Coordintaor: Computer Science concentration","Adelphi University"
2020-present,Graduate Program in Educational Technology,"Program Director","Adelphi University"
2017-present,[Zero Day Camp (non-profit organization)](https://zeroday.camp),"co-founder, Board of Directors","Brooklyn, NY"
2012-2017,Wikiotics Foundation (non-profit organization),Board of Directors,
2007-2017,[Teunis G. Bergen Public School 9](http://www.ps9brooklyn.org),Bilingual Education & Technology Advisor,"Brooklyn, NY"
2013-2015,[JCEPS: Journal for Critical Education Policy Studies](http://www.jceps.com/),Advisory Board,
2010-2015,[Brainscape](http://www.brainscape.com),Advisory Board,"New York, NY"
2008-2010,spaces e-journal of arts and humanities,"Editorial Board, Teachers College","New York, NY"
2004-2005,ContentBank/The Children's Partnership,Technology Advisor,"New York, NY"
1998-2000,Playing2Win Community Technology Center,Volunteer Teacher: Computer Programming and New Media Production,"Harlem, NY"
1993-1995,First Baptist Church,Volunteer Adult ESL Instructor,"Grady, AR"
