order,date,title,desc,tech,role,link,thumb,cv,portfolio
1,2022-present,[nycschools](https://adelphi-ed-tech.github.io/nycschools/),Open source python library to analyze public school data,python – pandas,lead developer,/software/nycschools.html,/img/portfolio/nycschools/thumb.png,1,1
3,2014-2017,PyTutor,Social/peer learning for computer science problems,python – django,lead developer,/software/pytutor.html,/img/portfolio/pytutor/thumb.png,1,1
4,various,WordPress,"Wordpress information design, themes, and plug-ins",wordpress - php - html/css,various,/software/wordpress.html,/img/portfolio/wp/thumb.png,0,1
2,2018,Peer Challenge,Mobile app to support peer-to-peer learning,javascript – react - node,lead developer,/software/peer-challenge.html,/img/portfolio/un-peer/thumb.png,1,1
5,2010-2014,Wikiotics,Free/Open language learning wiki,python,instructional designer,/software/wikiotics.html,/img/portfolio/wikiotics/thumb.png,1,1
6,2009-2010,Brainscape,Mobile flashcards and studying,java – android,lead developer,/software/brainscape.html,/img/portfolio/brainscape/thumb.png,1,1
7,2006-2008,STEPS to Literacy,Bilingual writing/instructional platform for critical literacy,python – zope,researcher / programmer,/software/steps.html,/img/portfolio/steps/thumb.png,1,1
8,2002-2008,RewardTV,Gamified media/market research platform,java,sr. software engineer,/software/rtv.html,/img/portfolio/rtv/thumb.png,1,1
9,1999-2002,mLogic,Crisp Wireless' mobile media authoring platform,java – android,Co-founder & CTO,,,1,0
10,1997-1999,RunTime,Web Content Management System,cold fusion (!!),software engineer,,,1,0
