date,authors,title
Fall 2017,K. Williams,Assessing Accessibility for Online courses at Adelphi University
,R. Sobeck,Interactive poetry with Twine
,F. Carus,Designing an online OER for chemistry instruction
Spring 2017, A. Turturro,Designing a DIY listening center for the elementary classroom with Raspberry Pi
Spring 2016,C. Correa & J. Trask,Investigation of video conferencing software to support synchronous online learning
Fall 2015,A. Lynch,Spanish multimedia language learning and peer exchanges
Summer 2015,K. Hart,HCI and user experience in scholarly search systems
,L. Dumitrescu,Universal Design for Learning in Massive Open Online Courses
,J. Diaz,A MOOC for high school history
Summer 2014,S. Bogdanov,MobiLit: an information literacy mobile game for learning
,T. Jennings,Linking physical and virtual learning environments
Spring 2014,A. Fleurimond,Computer programming for educators: a proposition for the inclusion of computational thinking in teacher preparation programs and professional development
